handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_df19c1f7-07d8-a265-42f8-e8dfa824cc6e,Product,I'm a product,"I'm a product description. I'm a great place to add more details about your product such as sizing, material, care instructions and cleaning instructions.",a9ff3b_9928686dcfa740bd802821d0b6f4ac03.jpg;a9ff3b_b2039d1e6a954631a41b85d674400f19.jpg;a9ff3b_e7d0c0544be94523905cb9b9c7720cf9.jpg,,364215376135191,,85.0,,true,PERCENT,0.0,InStock,0.0,,Color,COLOR,"#000:Black;#783f04:Brown",,,,,,,,,,,,,,,,PRODUCT INFO,"I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.",RETURN & REFUND POLICY,I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.,SHIPPING INFO,"I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.",,,,,,,,,,,,,
product_cd59cd36-b6d2-2cf3-9d48-81793a7bdbbd,Product,I'm a product,"I'm a product description. I'm a great place to add more details about your product such as sizing, material, care instructions and cleaning instructions.",a9ff3b_1eec973ae9eb43f4bca9876e5d90f6fa.jpg;a9ff3b_4b1550da0a014dea9d8dca081ce5b424.jpg;a9ff3b_1400c2edbac2483a8b993b4521f0cd06.jpg;a9ff3b_81b96254c64f474094480755abaa92d6.jpg,,364215375135191,,20.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.",RETURN & REFUND POLICY,I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.,SHIPPING INFO,"I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.",,,,,,,,,,,,,
product_c8539b66-7a44-fe18-affc-afec4be8562a,Product,I'm a product,"I'm a product description. I'm a great place to add more details about your product such as sizing, material, care instructions and cleaning instructions.",a9ff3b_119100d8c0144221b2f6733f4d205d2e.jpg;a9ff3b_2dc1e209d10945a7b4329d2328dfcd7b.jpg;a9ff3b_85862b70d0e54a26a0fecd55385e27a3.jpg,,364115376135191,Best Seller,10.0,,true,PERCENT,0.0,InStock,0.0,,Color,COLOR,"#000:Black;rgb(255, 255, 255):White",,,,,,,,,,,,,,,,PRODUCT INFO,"I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.",RETURN & REFUND POLICY,I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.,SHIPPING INFO,"I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.",,,,,,,,,,,,,
product_1a2d7e83-4bef-31d5-09e1-3326ee271c09,Product,I'm a product,"I'm a product description. I'm a great place to add more details about your product such as sizing, material, care instructions and cleaning instructions.",a9ff3b_c6158b4d41784ae8b08337a331e1de7f.jpg;a9ff3b_4181ada6b8024111b57df31ca9a73863.jpg;a9ff3b_8f92a97f61524c7fae0cdfca65d91568.jpg,,217537123517253,,25.0,,true,PERCENT,0.0,InStock,0.0,,Size,DROP_DOWN,Small;Medium;Large,Color,COLOR,"rgb(128, 128, 128):Grey;rgb(0, 0, 0):Black;rgb(255, 255, 255):White",,,,,,,,,,,,,PRODUCT INFO,"I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.",RETURN & REFUND POLICY,I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.,SHIPPING INFO,"I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.",,,,,,,,,,,,,
product_d99d3cc8-bc75-ec47-6c72-f713016f98f3,Product,I'm a product,"I'm a product description. I'm a great place to add more details about your product such as sizing, material, care instructions and cleaning instructions.",a9ff3b_03155a7e79bd4cca9aaf3f0e98378100.jpg;a9ff3b_4121bbe6516d48278536acade5b02421.jpg;a9ff3b_c36aa04b212b4449a8081572e513a1a5.jpg;a9ff3b_491534cec39f49308db9a5d2832e8f74.jpg,,366615376135191,New,7.5,,true,PERCENT,0.0,InStock,0.0,,Size,DROP_DOWN,Small;Large,,,,,,,,,,,,,,,,PRODUCT INFO,"I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.",RETURN & REFUND POLICY,I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.,SHIPPING INFO,"I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.",,,,,,,,,,,,,
product_3fb6a3c8-988b-8755-04bd-5c59ae0b18ea,Product,I'm a product,"I'm a product description. I'm a great place to add more details about your product such as sizing, material, care instructions and cleaning instructions.",a9ff3b_5bc54b597d67423d8022157cef968f7b.jpg;a9ff3b_1e66a0a1739b419093a0a7ad9fd2b029.jpg;a9ff3b_9293cc23a71f4499a56e551ab2ac87c5.jpg,,36523641234523,,15.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.",RETURN & REFUND POLICY,I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.,SHIPPING INFO,"I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.",,,,,,,,,,,,,
product_ea77f230-558f-57b6-cdd1-0ba565e8f827,Product,I'm a product,"I'm a product description. I'm a great place to add more details about your product such as sizing, material, care instructions and cleaning instructions.",a9ff3b_5e32b6d9419343c29c68e9173b5461e0.jpg;a9ff3b_a71f9a5bd820418dbafbf56578b34c2a.jpg;a9ff3b_ecd1a8bfeaf34bcd897c87f58cef90d4.jpg,,364215376135199,,85.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.",RETURN & REFUND POLICY,I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.,SHIPPING INFO,"I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.",,,,,,,,,,,,,
product_6b6778b4-c626-c00d-972c-b138d85e3f07,Product,I'm a product,"I'm a product description. I'm a great place to add more details about your product such as sizing, material, care instructions and cleaning instructions.",a9ff3b_ea68bd8398ac489a8e4e8b99755f96b0.jpg;a9ff3b_a943ab358e5b4980be1f449ea375e949.jpg;a9ff3b_bee01048c58e4d97b640f34075df0f3c.jpg;a9ff3b_2d250e05a86a4a9ca4040269efba6101.jpg,,632835642834572,,40.0,,true,PERCENT,0.0,InStock,0.0,,Size,DROP_DOWN,One size,,,,,,,,,,,,,,,,PRODUCT INFO,"I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.",RETURN & REFUND POLICY,I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.,SHIPPING INFO,"I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.",,,,,,,,,,,,,
product_975bc5ac-c45f-f81c-fd5c-c909f20d89fa,Product,I'm a product,"I'm a product description. I'm a great place to add more details about your product such as sizing, material, care instructions and cleaning instructions.",a9ff3b_849d96e85f044bc7ae0a47f78d9a898b.jpg;a9ff3b_bdeb8c91d120488a9cdc483553fc87de.jpg;a9ff3b_0d3eafb99c46485fb45425b766126631.jpg,,284215376135191,,130.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.",RETURN & REFUND POLICY,I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.,SHIPPING INFO,"I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.",,,,,,,,,,,,,
product_7bb38a7a-70b7-9cf3-fc80-584205694465,Product,I'm a product,"I'm a product description. I'm a great place to add more details about your product such as sizing, material, care instructions and cleaning instructions.",a9ff3b_18ef3d9c8058444ea08059329237a1f2.jpg;a9ff3b_a7a3f25cb2fb46dcabf34d079498f371.jpg;a9ff3b_5ad4db0e94b946eba4e163a42377b4c4.jpg,,126351351935,,45.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.",RETURN & REFUND POLICY,I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.,SHIPPING INFO,"I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.",,,,,,,,,,,,,
product_52b0658f-3b3d-796e-9532-87cd79468363,Product,I'm a product,"I'm a product description. I'm a great place to add more details about your product such as sizing, material, care instructions and cleaning instructions.",a9ff3b_f9b427f2017641468a0b939aa26777b5.jpg;a9ff3b_368c28dfbd9a4a47a7db85fe6c956996.jpg;a9ff3b_4766ba1e7c6c487f942d21ff962d902d.jpg,,671253175371,Sale,100.0,,true,PERCENT,5.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.",RETURN & REFUND POLICY,I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.,SHIPPING INFO,"I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.",,,,,,,,,,,,,
product_a668ef33-f5b8-6569-d04c-1d123be68441,Product,I'm a product,"I'm a product description. I'm a great place to add more details about your product such as sizing, material, care instructions and cleaning instructions.",a9ff3b_ed3b544c319b4fad9c222c791a997832.jpg;a9ff3b_779cdb925bf04bf58be912cb8a946432.jpg;a9ff3b_20ebbe17c66f40e2b27c99c900b98547.jpg,,21554345656,,120.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"I'm a product detail. I'm a great place to add more information about your product such as sizing, material, care and cleaning instructions. This is also a great space to write what makes this product special and how your customers can benefit from this item.",RETURN & REFUND POLICY,I’m a Return and Refund policy. I’m a great place to let your customers know what to do in case they are dissatisfied with their purchase. Having a straightforward refund or exchange policy is a great way to build trust and reassure your customers that they can buy with confidence.,SHIPPING INFO,"I'm a shipping policy. I'm a great place to add more information about your shipping methods, packaging and cost. Providing straightforward information about your shipping policy is a great way to build trust and reassure your customers that they can buy from you with confidence.",,,,,,,,,,,,,
